Wall time,Step,Value
1761562717.1291513,120000,-2663033.5
1761562779.7677495,240000,-2071815.125
1761562841.1218927,360000,-1647041.375
1761562902.448592,480000,-170569.546875
1761562963.83713,600000,-125228.28125
1761563025.4675405,720000,-76290.4375
1761563087.1535723,840000,-163938.40625
1761563148.8440108,960000,-99338.5859375
1761563210.3987305,1080000,-192105.578125
1761563271.803727,1200000,-56922.24609375
1761563333.4226592,1320000,-44076.2734375
1761563394.9240773,1440000,-57063.48828125
1761563456.5159721,1560000,-57650.078125
1761563518.2284448,1680000,-2108945.5
1761563580.0723171,1800000,-1517825.875
1761563641.81222,1920000,-41567.546875
1761563703.362405,2040000,-30266.052734375
1761563764.9213746,2160000,-202062.75
1761563826.5850863,2280000,-326325.375
1761563888.1286345,2400000,-72545.96875
1761563949.600133,2520000,-50220.6953125
1761564011.128896,2640000,-58241.9609375
1761564072.5663815,2760000,-23661.591796875
1761564133.9449236,2880000,-23589.556640625
1761564195.556095,3000000,-14683.8056640625
1761564256.994744,3120000,-45863.91796875
1761564318.3089225,3240000,-10383.3671875
1761564379.7982287,3360000,-17267.09765625
1761564441.4754734,3480000,-20801.15234375
1761564502.9815853,3600000,-12028.1064453125
1761564565.0350645,3720000,-306574.3125
1761564626.6892521,3840000,-717103.875
1761564688.083345,3960000,-399667.15625
1761564749.5230858,4080000,-624104.25
1761564811.1407607,4200000,-15128.044921875
1761564872.8072994,4320000,-20096.26171875
1761564934.3747327,4440000,-793462.25
1761564996.051566,4560000,-14430.5390625
1761565057.5192902,4680000,-34758.1015625
1761565118.9492395,4800000,-14878.927734375
1761565180.6551795,4920000,-23346.453125
1761565242.199517,5040000,-18400.568359375
1761565303.735838,5160000,-15350.64453125
1761565365.0712512,5280000,-9040.341796875
1761565426.3429716,5400000,-37851.72265625
1761565488.087135,5520000,-11024.2626953125
1761565549.6681182,5640000,-11492.552734375
1761565611.2509072,5760000,-9667.7236328125
1761565672.890032,5880000,-7889.71728515625
1761565734.39514,6000000,-7299.72119140625
1761565796.05982,6120000,-7849.1533203125
1761565857.5609548,6240000,-8191.16015625
1761565919.0986967,6360000,-8076.734375
1761565980.5185006,6480000,-7471.615234375
1761566041.8298116,6600000,-7983.45068359375
1761566103.6026747,6720000,-7563.6416015625
1761566165.2324681,6840000,-11076.0283203125
1761566226.8400126,6960000,-10137.45703125
1761566288.3727474,7080000,-13292.546875
1761566349.8072484,7200000,-7170.890625
1761566411.738028,7320000,-6794.05517578125
1761566473.037857,7440000,-8602.5517578125
1761566534.4465668,7560000,-6725.8564453125
1761566595.7933786,7680000,-11281.458984375
1761566656.9746614,7800000,-7533.466796875
1761566718.7315707,7920000,-7222.27978515625
1761566780.3773382,8040000,-6769.0419921875
1761566841.911124,8160000,-7875.4609375
1761566903.4371886,8280000,-7170.13525390625
1761566964.781359,8400000,-7789.33349609375
1761567026.6057372,8520000,-7133.0166015625
1761567087.6061232,8640000,-7567.41162109375
1761567148.8445702,8760000,-7154.052734375
1761567209.620221,8880000,-6797.54150390625
1761567270.3822205,9000000,-6379.2509765625
1761567331.9779854,9120000,-8599.4716796875
1761567393.3355246,9240000,-6267.0625
1761567454.564757,9360000,-6110.83740234375
1761567515.7778034,9480000,-6318.4248046875
1761567576.757707,9600000,-7358.32080078125
1761567638.338574,9720000,-6167.95654296875
1761567699.5552037,9840000,-6901.56494140625
1761567760.8318272,9960000,-6533.27001953125
1761567821.9714792,10080000,-7696.931640625
1761567883.1888611,10200000,-7503.89599609375
1761567944.535417,10320000,-6988.994140625
1761568005.4885411,10440000,-6530.33642578125
1761568066.6735888,10560000,-6408.19580078125
1761568127.8436782,10680000,-6132.36865234375
1761568188.8776605,10800000,-6182.69970703125
1761568250.219774,10920000,-6152.5732421875
1761568311.3836548,11040000,-6123.59423828125
1761568372.5220451,11160000,-6434.6494140625
1761568434.027399,11280000,-6427.21142578125
1761568495.172882,11400000,-6116.71875
1761568556.6643257,11520000,-6456.08837890625
1761568617.9279218,11640000,-6192.75732421875
1761568679.1961734,11760000,-6118.37255859375
1761568740.1559184,11880000,-6145.02734375
1761568801.5408163,12000000,-6056.3896484375
1761568862.9257195,12120000,-6067.99609375
1761568924.2323773,12240000,-6583.7724609375
1761568985.5405006,12360000,-6560.525390625
1761569046.85967,12480000,-6022.369140625
1761569108.0063405,12600000,-6664.8115234375
1761569169.6550746,12720000,-7278.8056640625
1761569230.863682,12840000,-6096.67822265625
1761569292.1683915,12960000,-6079.98046875
1761569353.5132155,13080000,-6046.638671875
1761569415.0830073,13200000,-6176.00732421875
1761569476.4247038,13320000,-6182.5439453125
1761569537.7667375,13440000,-6776.138671875
1761569599.1077695,13560000,-6088.72802734375
1761569660.1974685,13680000,-6099.1103515625
1761569721.5307457,13800000,-6081.76953125
1761569783.2137074,13920000,-6296.5419921875
1761569844.5906405,14040000,-6005.6962890625
1761569905.95072,14160000,-6333.7646484375
1761569967.6051064,14280000,-6036.70458984375
1761570028.9405897,14400000,-6400.9775390625
1761570090.370036,14520000,-6045.0888671875
1761570151.835262,14640000,-6053.3974609375
1761570213.2368274,14760000,-6032.08740234375
1761570274.7686536,14880000,-6038.03515625
1761570336.2562256,15000000,-6032.021484375
